i=1 170.934 time 2:50, left 85:25:10
i=9 136.336 time 2:16, left 30:38:29
i=14 171.853 time 2:51, left 31:48:30
i=19 172.421 time 2:52, left 32:23:46
i=26 182.530 time 3:02, left 30:39:35
i=33 188.824 time 3:08, left 29:48:03
i=39 170.972 time 2:50, left 29:30:54
i=46 183.449 time 3:03, left 28:55:19
i=53 191.010 time 3:11, left 28:36:26
i=59 171.120 time 2:51, left 28:30:27
i=65 174.689 time 2:54, left 28:28:13
i=72 154.565 time 2:34, left 27:45:49
i=77 156.016 time 2:36, left 27:54:14
i=82 122.401 time 2:02, left 27:37:35
i=87 123.542 time 2:03, left 27:23:21
i=92 156.466 time 2:36, left 27:31:08
i=97 157.967 time 2:37, left 27:38:44
i=103 175.774 time 2:55, left 27:38:50
i=109 136.530 time 2:16, left 27:17:52
i=115 193.754 time 3:13, left 27:27:28
i=121 174.631 time 2:54, left 27:26:43
i=128 175.284 time 2:55, left 27:12:50
i=135 197.935 time 3:17, left 27:09:41
i=141 180.676 time 3:00, left 27:11:27
i=148 179.774 time 2:59, left 27:01:03
i=154 170.191 time 2:50, left 26:58:38
i=160 138.982 time 2:18, left 26:45:05
i=166 183.526 time 3:03, left 26:47:36
i=173 191.102 time 3:11, left 26:42:29
i=179 171.096 time 2:51, left 26:40:32
i=184 131.347 time 2:11, left 26:35:25
i=190 169.242 time 2:49, left 26:32:55
i=196 189.422 time 3:09, left 26:36:13
i=202 122.535 time 2:02, left 26:20:29
i=207 123.602 time 2:03, left 26:13:49
i=211 182.068 time 3:02, left 26:30:48
i=218 185.690 time 3:05, left 26:24:33
i=225 180.194 time 3:00, left 26:17:08
i=232 154.444 time 2:34, left 26:03:46
i=237 155.912 time 2:35, left 26:05:21
i=243 174.271 time 2:54, left 26:04:05
i=249 135.468 time 2:15, left 25:54:04
i=254 170.685 time 2:50, left 25:58:38
i=260 138.877 time 2:18, left 25:49:41
i=265 183.756 time 3:03, left 25:56:40
i=271 186.355 time 3:06, left 25:57:35
i=278 190.147 time 3:10, left 25:53:02
i=286 183.623 time 3:03, left 25:41:26
i=292 158.257 time 2:38, left 25:36:55
i=297 159.976 time 2:39, left 25:38:23
i=303 170.509 time 2:50, left 25:36:05
i=309 132.349 time 2:12, left 25:27:02
i=314 166.443 time 2:46, left 25:29:26
i=320 135.884 time 2:15, left 25:21:14
i=325 179.202 time 2:59, left 25:25:37
i=331 181.506 time 3:01, left 25:25:05
i=338 185.475 time 3:05, left 25:20:07
i=345 180.078 time 3:00, left 25:14:24
i=352 154.298 time 2:34, left 25:04:50
i=357 156.034 time 2:36, left 25:05:05
i=363 150.548 time 2:30, left 24:59:50
i=369 115.302 time 1:55, left 24:49:33
i=375 166.800 time 2:46, left 24:46:54
i=381 150.813 time 2:30, left 24:42:00
i=388 154.655 time 2:34, left 24:33:26
i=394 144.334 time 2:24, left 24:27:52
i=400 116.674 time 1:56, left 24:18:42
i=406 153.033 time 2:33, left 24:14:31
i=413 160.990 time 2:40, left 24:07:26
i=419 145.725 time 2:25, left 24:02:28
i=424 112.204 time 1:52, left 23:57:13
i=430 143.611 time 2:23, left 23:52:08
i=436 155.776 time 2:35, left 23:48:35
i=442 103.467 time 1:43, left 23:38:51
i=447 104.449 time 1:44, left 23:33:03
i=452 133.328 time 2:13, left 23:30:40
i=457 134.279 time 2:14, left 23:28:24
i=463 150.782 time 2:30, left 23:24:31
i=470 143.568 time 2:23, left 23:16:27
i=476 155.446 time 2:35, left 23:13:12
i=482 104.369 time 1:44, left 23:04:29
i=487 105.508 time 1:45, left 22:59:19
i=492 135.393 time 2:15, left 22:57:21
i=497 136.759 time 2:16, left 22:55:31
i=503 153.296 time 2:33, left 22:52:13
i=509 116.765 time 1:56, left 22:45:14
i=514 144.561 time 2:24, left 22:44:13
i=520 116.703 time 1:56, left 22:37:23
i=526 153.171 time 2:33, left 22:34:12
i=533 160.932 time 2:40, left 22:28:48
i=539 145.743 time 2:25, left 22:24:58
i=544 112.594 time 1:52, left 22:20:59
i=550 143.725 time 2:23, left 22:17:01
i=556 156.136 time 2:36, left 22:14:14
i=562 103.590 time 1:43, left 22:06:44
i=567 104.283 time 1:44, left 22:02:10
i=573 155.179 time 2:35, left 21:59:23
i=579 142.490 time 2:22, left 21:55:31
i=584 114.647 time 1:54, left 21:51:57
i=589 115.259 time 1:55, left 21:48:29
i=594 141.807 time 2:21, left 21:47:16
i=600 114.975 time 1:54, left 21:41:12
i=606 149.558 time 2:29, left 21:38:03
i=613 161.938 time 2:41, left 21:33:22
i=619 145.878 time 2:25, left 21:29:58
i=624 116.563 time 1:56, left 21:26:45
i=630 147.232 time 2:27, left 21:23:29
i=636 154.025 time 2:34, left 21:20:46
i=642 106.234 time 1:46, left 21:14:23
i=647 107.390 time 1:47, left 21:10:34
i=652 135.573 time 2:15, left 21:08:54
i=657 136.685 time 2:16, left 21:07:19
i=663 147.216 time 2:27, left 21:04:09
i=669 112.519 time 1:52, left 20:58:28
i=674 141.643 time 2:21, left 20:57:15
i=680 113.721 time 1:53, left 20:51:44
i=686 148.543 time 2:28, left 20:48:45
i=692 133.150 time 2:13, left 20:44:42
i=697 134.158 time 2:14, left 20:42:57
i=703 150.723 time 2:30, left 20:40:09
i=710 143.534 time 2:23, left 20:34:41
i=716 155.379 time 2:35, left 20:32:13
i=722 124.022 time 2:04, left 20:27:41
i=727 125.353 time 2:05, left 20:25:22
i=732 159.564 time 2:39, left 20:25:18
i=737 161.004 time 2:41, left 20:25:17
i=743 182.475 time 3:02, left 20:24:31
i=749 141.258 time 2:21, left 20:21:07
i=754 171.683 time 2:51, left 20:21:41
i=760 141.475 time 2:21, left 20:18:18
i=766 186.154 time 3:06, left 20:17:40
i=773 193.762 time 3:13, left 20:15:28
i=779 172.470 time 2:52, left 20:13:57
i=784 134.583 time 2:14, left 20:12:07
i=790 170.880 time 2:50, left 20:10:29
i=796 190.129 time 3:10, left 20:09:57
i=802 123.860 time 2:03, left 20:05:31
i=807 124.914 time 2:04, left 20:03:07
i=811 182.454 time 3:02, left 20:05:55
i=818 187.723 time 3:07, left 20:03:14
i=825 184.445 time 3:04, left 20:00:21
i=831 187.551 time 3:07, left 19:59:31
i=838 190.780 time 3:10, left 19:56:58
i=845 182.667 time 3:02, left 19:53:58
i=852 159.473 time 2:39, left 19:49:43
i=857 160.793 time 2:40, left 19:49:12
i=862 126.691 time 2:06, left 19:46:51
i=867 127.495 time 2:07, left 19:44:32
i=872 161.220 time 2:41, left 19:44:00
i=877 162.507 time 2:42, left 19:43:29
i=883 183.553 time 3:03, left 19:42:16
i=889 141.351 time 2:21, left 19:38:52
i=895 200.246 time 3:20, left 19:38:27
i=901 174.026 time 2:54, left 19:36:42
i=908 176.347 time 2:56, left 19:33:18
i=915 196.160 time 3:16, left 19:30:53
i=921 179.031 time 2:59, left 19:29:20
i=928 179.942 time 2:59, left 19:26:07
i=934 167.988 time 2:47, left 19:24:01
i=940 138.761 time 2:18, left 19:20:31
i=946 181.823 time 3:01, left 19:19:03
i=952 155.122 time 2:35, left 19:16:20
i=957 156.907 time 2:36, left 19:15:20
