i=3 171.720 time 2:51, left 42:52:56
i=10 175.797 time 2:55, left 31:29:45
i=16 196.977 time 3:16, left 31:52:40
i=23 180.603 time 3:00, left 30:00:39
i=29 139.746 time 2:19, left 28:35:16
i=34 171.359 time 2:51, left 29:19:04
i=40 139.946 time 2:19, left 28:21:35
i=45 185.497 time 3:05, left 29:13:21
i=52 159.062 time 2:39, left 28:16:12
i=57 160.449 time 2:40, left 28:31:06
i=62 119.906 time 1:59, left 28:05:16
i=67 121.250 time 2:01, left 27:44:07
i=73 187.809 time 3:07, left 27:55:44
i=79 168.347 time 2:48, left 27:50:52
i=84 135.950 time 2:15, left 27:44:03
i=90 170.528 time 2:50, left 27:41:16
i=96 184.264 time 3:04, left 27:46:45
i=102 123.002 time 2:03, left 27:16:34
i=107 124.464 time 2:04, left 27:05:39
i=111 186.896 time 3:06, left 27:42:48
i=118 188.596 time 3:08, left 27:33:48
i=125 178.862 time 2:58, left 27:20:58
i=131 192.548 time 3:12, left 27:27:59
i=138 194.092 time 3:14, left 27:22:23
i=146 183.492 time 3:03, left 27:01:15
i=153 189.930 time 3:09, left 26:55:15
i=159 171.875 time 2:51, left 26:53:33
i=164 139.102 time 2:19, left 26:50:39
i=170 173.372 time 2:53, left 26:49:22
i=176 194.564 time 3:14, left 26:54:48
i=182 119.696 time 1:59, left 26:36:22
i=187 120.983 time 2:00, left 26:28:14
i=193 187.695 time 3:07, left 26:31:19
i=199 167.674 time 2:47, left 26:28:22
i=204 134.885 time 2:14, left 26:24:35
i=209 135.734 time 2:15, left 26:21:06
i=215 190.394 time 3:10, left 26:24:10
i=221 177.143 time 2:57, left 26:23:33
i=228 176.529 time 2:56, left 26:15:16
i=234 166.290 time 2:46, left 26:12:00
i=240 134.916 time 2:14, left 26:01:28
i=246 176.761 time 2:56, left 26:00:49
i=252 159.285 time 2:39, left 25:56:11
i=257 160.700 time 2:40, left 25:58:27
i=262 125.536 time 2:05, left 25:53:05
i=267 126.976 time 2:06, left 25:48:08
i=273 190.461 time 3:10, left 25:50:02
i=279 172.239 time 2:52, left 25:48:07
i=284 138.961 time 2:18, left 25:45:36
i=290 173.418 time 2:53, left 25:43:52
i=296 193.804 time 3:13, left 25:45:51
i=302 119.310 time 1:59, left 25:34:08
i=307 120.949 time 2:00, left 25:28:29
i=312 155.261 time 2:35, left 25:28:57
i=317 155.811 time 2:35, left 25:29:26
i=323 174.689 time 2:54, left 25:27:48
i=329 136.082 time 2:16, left 25:19:45
i=335 190.223 time 3:10, left 25:20:40
i=341 176.975 time 2:56, left 25:19:20
i=348 176.480 time 2:56, left 25:13:04
i=354 166.307 time 2:46, left 25:10:05
i=360 114.475 time 1:54, left 24:59:22
i=364 114.983 time 1:54, left 24:58:05
i=370 146.763 time 2:26, left 24:52:25
i=376 159.469 time 2:39, left 24:48:39
i=382 105.828 time 1:45, left 24:37:25
i=387 106.515 time 1:46, left 24:30:48
i=391 152.258 time 2:32, left 24:34:45
